hotel,date,room_type,capacity,occupied,adr,room_revenue,fnb_revenue,spa_revenue,other_revenue,total_revenue,rooms_cost,fnb_cost,spa_cost,other_cost,total_cost,channel,occupancy_rate,revpar,gop,goppar
Hôtel des Îles,2024-10-12,Double,30,15,96.09,1441.35,250.39,86.79,81.72,1860.25,406.65,106.26,17.87,44.76,575.54,Direct,0.5,48.044999999999995,1284.71,42.82366666666667
Hôtel des Îles,2024-10-12,Deluxe,15,6,148.37,890.22,134.86,0.45,107.41,1132.94,215.91,60.18,0.15,40.59,316.83,OTA,0.4,59.348,816.1100000000001,54.40733333333334
Hôtel des Îles,2024-10-12,Suite,5,2,323.1,646.2,156.77,17.67,176.52,997.16,187.27,42.41,6.85,89.38,325.91,Direct,0.4,129.24,671.25,134.25
Hôtel des Îles,2024-10-13,Single,10,4,56.37,225.48,39.27,0.83,224.31,489.89,66.75,17.43,0.29,76.05,160.52,Corporate,0.4,22.548,329.37,32.937
Hôtel des Îles,2024-10-13,Double,30,8,89.21,713.68,74.74,56.93,135.24,980.59,155.37,21.13,20.44,68.72,265.66,Direct,0.26666666666666666,23.78933333333333,714.9300000000001,23.831000000000003
Hôtel des Îles,2024-10-13,Deluxe,15,4,135.55,542.2,129.44,18.21,177.71,867.56,113.67,39.46,7.23,75.14,235.5,Corporate,0.26666666666666666,36.14666666666667,632.06,42.13733333333333
Hôtel des Îles,2024-10-13,Suite,5,1,304.69,304.69,74.23,4.52,223.72,607.16,81.2,30.0,1.67,118.19,231.06,OTA,0.2,60.938,376.09999999999997,75.22
Hôtel des Îles,2024-10-14,Single,10,3,72.49,217.47,16.32,11.93,136.06,381.78,39.16,5.68,2.54,64.57,111.95,Direct,0.3,21.747,269.83,26.982999999999997
Hôtel des Îles,2024-10-14,Double,30,16,67.33,1077.28,183.14,25.14,189.0,1474.56,300.58,74.35,5.23,83.94,464.1,Direct,0.5333333333333333,35.90933333333333,1010.4599999999999,33.681999999999995
Hôtel des Îles,2024-10-14,Deluxe,15,5,150.5,752.5,39.1,19.65,153.54,964.79,122.79,12.52,4.06,49.68,189.05,OTA,0.3333333333333333,50.166666666666664,775.74,51.716
Hôtel des Îles,2024-10-14,Suite,5,1,282.9,282.9,23.62,2.37,177.29,486.18,72.41,6.05,0.92,55.95,135.33,OTA,0.2,56.58,350.85,70.17
Hôtel des Îles,2024-10-15,Single,10,5,63.93,319.65,68.07,2.05,228.96,618.73,74.2,28.14,0.6,112.89,215.83,OTA,0.5,31.964999999999996,402.9,40.29
Hôtel des Îles,2024-10-15,Double,30,15,84.19,1262.85,309.62,34.04,86.42,1692.93,339.02,118.19,10.2,40.32,507.73,OTA,0.5,42.095,1185.2,39.50666666666667
Hôtel des Îles,2024-10-15,Deluxe,15,5,129.95,649.75,36.47,13.39,142.52,842.13,182.09,14.42,4.67,60.95,262.13,Direct,0.3333333333333333,43.31666666666667,580.0,38.666666666666664
Hôtel des Îles,2024-10-15,Suite,5,2,241.64,483.28,71.2,33.77,230.14,818.39,103.06,21.74,10.75,132.03,267.58,Direct,0.4,96.65599999999999,550.81,110.16199999999999
Hôtel des Îles,2024-10-16,Single,10,5,73.77,368.85,85.5,5.3,97.51,557.16,109.07,24.47,1.97,43.65,179.16,Direct,0.5,36.885000000000005,378.0,37.8
Hôtel des Îles,2024-10-16,Double,30,17,55.82,948.94,78.48,29.69,243.88,1300.99,179.08,29.93,7.87,129.75,346.63,Direct,0.5666666666666667,31.631333333333334,954.36,31.812
Hôtel des Îles,2024-10-16,Deluxe,15,10,98.1,981.0,211.68,33.82,99.74,1326.24,237.96,82.84,7.89,34.94,363.63,Direct,0.6666666666666666,65.4,962.61,64.174
Hôtel des Îles,2024-10-16,Suite,5,3,277.2,831.6,138.94,57.76,91.17,1119.47,138.7,42.23,12.21,41.88,235.02,Agency,0.6,166.32,884.45,176.89000000000001
Hôtel des Îles,2024-10-17,Single,10,2,58.69,117.38,17.78,0.39,79.67,215.22,34.98,7.88,0.08,46.65,89.59,OTA,0.2,11.738,125.63,12.562999999999999
Hôtel des Îles,2024-10-17,Double,30,17,55.24,939.08,73.18,2.25,111.59,1126.1,240.12,21.25,0.75,65.95,328.07,Direct,0.5666666666666667,31.302666666666667,798.03,26.601
Hôtel des Îles,2024-10-17,Deluxe,15,8,150.94,1207.52,262.78,91.25,186.65,1748.2,271.18,98.17,34.11,87.95,491.41,Direct,0.5333333333333333,80.50133333333333,1256.79,83.786
Hôtel des Îles,2024-10-17,Suite,5,4,214.28,857.12,110.37,44.65,71.32,1083.46,213.15,49.65,9.36,42.3,314.46,OTA,0.8,171.424,769.0,153.8
Hôtel des Îles,2024-10-18,Single,10,6,63.41,380.46,49.77,9.95,183.52,623.7,103.17,20.03,3.58,79.04,205.82,Corporate,0.6,38.046,417.88000000000005,41.788000000000004
Hôtel des Îles,2024-10-18,Double,30,11,90.19,992.09,128.21,55.2,127.71,1303.21,215.59,38.14,15.16,47.02,315.91,Direct,0.36666666666666664,33.06966666666667,987.3,32.91
Hôtel des Îles,2024-10-18,Deluxe,15,7,95.02,665.14,148.1,27.62,145.84,986.7,102.33,47.13,7.62,61.2,218.28,OTA,0.4666666666666667,44.342666666666666,768.4200000000001,51.228
Hôtel des Îles,2024-10-18,Suite,5,2,294.14,588.28,141.84,0.86,89.16,820.14,88.91,53.83,0.33,33.26,176.33,Agency,0.4,117.65599999999999,643.81,128.762
Hôtel des Îles,2024-10-19,Single,10,2,58.11,116.22,11.78,2.65,111.46,242.11,31.43,4.22,0.69,53.85,90.19,OTA,0.2,11.622,151.92000000000002,15.192000000000002
Hôtel des Îles,2024-10-19,Double,30,12,87.3,1047.6,90.39,44.01,191.81,1373.81,173.93,32.85,11.06,112.95,330.79,OTA,0.4,34.919999999999995,1043.02,34.76733333333333
Hôtel des Îles,2024-10-19,Deluxe,15,9,149.44,1344.96,229.08,88.14,226.84,1889.02,247.76,66.99,28.4,96.02,439.17,Corporate,0.6,89.664,1449.85,96.65666666666667
Hôtel des Îles,2024-10-19,Suite,5,4,295.8,1183.2,253.82,40.11,183.51,1660.64,194.44,95.12,11.65,87.35,388.56,Direct,0.8,236.64000000000001,1272.0800000000002,254.41600000000003
Hôtel des Îles,2024-10-20,Single,10,6,56.46,338.76,53.98,6.29,128.18,527.21,81.02,18.86,2.5,43.7,146.08,OTA,0.6,33.876,381.13,38.113
Hôtel des Îles,2024-10-20,Double,30,13,83.36,1083.68,113.6,6.89,67.13,1271.3,307.9,32.76,1.82,24.7,367.18,OTA,0.43333333333333335,36.12266666666667,904.1199999999999,30.13733333333333
Hôtel des Îles,2024-10-20,Deluxe,15,4,127.56,510.24,80.62,35.92,180.18,806.96,117.33,25.38,9.58,90.24,242.53,Agency,0.26666666666666666,34.016,564.4300000000001,37.62866666666667
Hôtel des Îles,2024-10-20,Suite,5,3,257.77,773.31,125.63,59.24,85.06,1043.24,196.03,36.46,18.2,27.98,278.67,OTA,0.6,154.66199999999998,764.5699999999999,152.914
Hôtel des Îles,2024-10-21,Single,10,6,73.14,438.84,35.32,34.84,235.4,744.4,101.37,14.78,10.6,114.66,241.41,Direct,0.6,43.884,502.99,50.299
Hôtel des Îles,2024-10-21,Double,30,16,88.17,1410.72,80.74,34.21,102.62,1628.29,287.82,21.6,13.25,47.84,370.51,Direct,0.5333333333333333,47.024,1257.78,41.926
Hôtel des Îles,2024-10-21,Deluxe,15,6,156.73,940.38,140.49,74.64,220.28,1375.79,170.47,61.27,16.67,120.1,368.51,OTA,0.4,62.692,1007.28,67.152
Hôtel des Îles,2024-10-21,Suite,5,4,299.68,1198.72,79.34,38.64,84.7,1401.4,304.77,25.33,15.27,41.7,387.07,Corporate,0.8,239.744,1014.3300000000002,202.86600000000004
Hôtel des Îles,2024-10-22,Single,10,3,84.65,253.95,38.22,8.1,79.27,379.54,52.09,10.08,1.66,27.0,90.83,Agency,0.3,25.395,288.71000000000004,28.871000000000002
Hôtel des Îles,2024-10-22,Double,30,14,95.84,1341.76,185.03,11.34,178.17,1716.3,244.74,69.19,3.74,61.58,379.25,Direct,0.4666666666666667,44.72533333333333,1337.05,44.568333333333335
Hôtel des Îles,2024-10-22,Deluxe,15,8,128.73,1029.84,76.49,24.99,70.21,1201.53,261.4,20.08,7.54,42.06,331.08,Corporate,0.5333333333333333,68.65599999999999,870.45,58.03
Hôtel des Îles,2024-10-22,Suite,5,3,297.37,892.11,67.93,63.28,139.96,1163.28,159.86,21.98,17.9,76.73,276.47,OTA,0.6,178.422,886.81,177.362
Hôtel des Îles,2024-10-23,Single,10,6,59.7,358.2,36.52,21.79,77.42,493.93,82.49,10.7,4.41,28.83,126.43,Agency,0.6,35.82,367.5,36.75
Hôtel des Îles,2024-10-23,Double,30,16,96.95,1551.2,218.53,104.78,69.62,1944.13,346.28,61.19,27.76,36.29,471.52,OTA,0.5333333333333333,51.70666666666667,1472.6100000000001,49.087
Hôtel des Îles,2024-10-23,Deluxe,15,6,145.7,874.2,210.74,55.03,113.08,1253.05,221.37,71.13,13.81,62.45,368.76,Direct,0.4,58.28,884.29,58.952666666666666
Hôtel des Îles,2024-10-23,Suite,5,4,271.97,1087.88,192.92,53.43,63.33,1397.56,247.78,54.02,18.57,28.73,349.1,OTA,0.8,217.57600000000002,1048.46,209.692
Hôtel des Îles,2024-10-24,Single,10,2,62.37,124.74,13.63,3.49,204.93,346.79,31.09,3.91,0.82,67.53,103.35,OTA,0.2,12.474,243.44000000000003,24.344
Hôtel des Îles,2024-10-24,Double,30,16,80.92,1294.72,118.0,12.57,173.0,1598.29,344.65,44.7,3.85,54.08,447.28,Agency,0.5333333333333333,43.157333333333334,1151.01,38.367
Hôtel des Îles,2024-10-24,Deluxe,15,9,154.92,1394.28,252.78,14.29,117.65,1779.0,403.24,74.55,3.92,50.55,532.26,OTA,0.6,92.952,1246.74,83.116
Hôtel des Îles,2024-10-24,Suite,5,3,292.63,877.89,94.09,57.3,222.27,1251.55,243.16,40.81,14.35,117.03,415.35,OTA,0.6,175.578,836.1999999999999,167.23999999999998
Hôtel des Îles,2024-10-25,Single,10,6,68.89,413.34,65.72,32.56,237.48,749.1,64.68,18.6,7.37,122.97,213.62,Corporate,0.6,41.333999999999996,535.48,53.548
Hôtel des Îles,2024-10-25,Double,30,12,90.26,1083.12,182.04,44.05,109.51,1418.72,254.27,70.59,16.5,53.76,395.12,Corporate,0.4,36.104,1023.6,34.12
Hôtel des Îles,2024-10-25,Deluxe,15,5,156.57,782.85,194.43,6.21,130.3,1113.79,211.38,56.54,1.93,67.75,337.6,OTA,0.3333333333333333,52.190000000000005,776.1899999999999,51.745999999999995
Hôtel des Îles,2024-10-25,Suite,5,1,260.59,260.59,52.69,0.74,199.15,513.17,47.0,23.27,0.2,79.28,149.75,Direct,0.2,52.117999999999995,363.41999999999996,72.684
Hôtel des Îles,2024-10-26,Single,10,4,51.83,207.32,34.96,6.49,132.52,381.29,52.73,8.76,2.1,53.89,117.48,Corporate,0.4,20.732,263.81,26.381
Hôtel des Îles,2024-10-26,Double,30,10,120.7,1207.0,200.36,54.22,162.13,1623.71,290.31,77.2,19.57,61.76,448.84,Corporate,0.3333333333333333,40.233333333333334,1174.8700000000001,39.162333333333336
Hôtel des Îles,2024-10-26,Deluxe,15,7,158.96,1112.72,170.75,39.19,79.49,1402.15,221.69,57.51,8.53,29.11,316.84,OTA,0.4666666666666667,74.18133333333334,1085.3100000000002,72.35400000000001
Hôtel des Îles,2024-10-26,Suite,5,3,283.28,849.84,62.61,27.87,217.96,1158.28,176.41,22.81,8.85,77.45,285.52,OTA,0.6,169.96800000000002,872.76,174.552
Hôtel des Îles,2024-10-27,Single,10,4,54.72,218.88,52.12,4.54,135.93,411.47,61.49,21.81,1.08,73.51,157.89,OTA,0.4,21.887999999999998,253.58000000000004,25.358000000000004
